date,StockCode,open,high,low,close,volume,Type,Title,PublishTime,URL,Head,Content,ArticleID,Page
2025-12-25,BCM,60.4,60.8,60.3,60.5,84200,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu BCM12503 của TẬP ĐOÀN ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP BECAMEX-CTCP (tên cũ: TỔNG CÔNG TY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP - CTCP,2025-12-25 00:00:00,/2025/12/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bcm12503-cua-tap-doan-dau-tu-va-phat-trien-cong-nghiep-becamexctcp-ten-cu-tong-cong-ty-dau-tu-va-phat-tri-3118-1384675.htm,,,1384675.0,1.0
2025-12-25,BCM,60.4,60.8,60.3,60.5,84200,Tin mới nhất,BCM: Nghị quyết HĐQT về việc thành lập Công ty TNHH MTV WTC Becamex,2025-12-25 10:26:44,/2025/12/bcm-nghi-quyet-hdqt-ve-viec-thanh-lap-cong-ty-tnhh-mtv-wtc-becamex-737-1384542.htm,,,1384542.0,1.0
2025-12-25,BCM,60.4,60.8,60.3,60.5,84200,Kết quả - Kế hoạch kinh doanh,BCM: Nghị quyết HĐQT về việc thành lập Công ty TNHH MTV WTC Becamex,2025-12-25 10:26:44,/2025/12/bcm-nghi-quyet-hdqt-ve-viec-thanh-lap-cong-ty-tnhh-mtv-wtc-becamex-737-1384542.htm,,,1384542.0,1.0
2025-12-26,BCM,60.8,60.8,58.5,59.6,215900,,,,,,,,
2025-12-29,BCM,59.5,63.7,58.8,60.5,244600,,,,,,,,
2025-12-30,BCM,61.2,61.5,59.5,61.5,159800,,,,,,,,
2025-12-31,BCM,60.5,61.8,60.5,61.8,147900,,,,,,,,
2025-06-25,BID,35.65,35.85,35.46,35.46,3398132,,,,,,,,
2025-06-26,BID,35.51,35.55,35.21,35.31,2342386,,,,,,,,
2025-06-27,BID,35.31,36.25,35.31,35.7,8303279,,,,,,,,
2025-06-30,BID,35.95,35.95,35.8,35.9,4553539,,,,,,,,
2025-07-01,BID,35.95,36.44,35.85,36.2,7019449,Tin mới nhất,IR Awards 2025: 460 doanh nghiệp niêm yết hoàn thành tốt nghĩa vụ công bố thông tin năm 2025,2025-07-01 10:02:00,/2025/07/ir-awards-2025-460-doanh-nghiep-niem-yet-hoan-thanh-tot-nghia-vu-cong-bo-thong-tin-nam-2025-830-1323066.htm,"Tỷ lệ Doanh nghiệp đạt Chuẩn Công bố thông tin năm 2025 tăng mạnh 7 điểm phần trăm so với năm 2024, đạt mức 67%.",,1323066.0,40.0
2025-07-02,BID,36.2,36.25,35.9,36.0,3807613,Tin mới nhất,BID: CBTT thay đổi địa chỉ trụ sở các chi nhánh,2025-07-02 11:18:49,/2025/07/bid-cbtt-thay-doi-dia-chi-tru-so-cac-chi-nhanh-737-1323980.htm,,,1323980.0,40.0
2025-07-02,BID,36.2,36.25,35.9,36.0,3807613,Kết quả - Kế hoạch kinh doanh,BID: CBTT thay đổi địa chỉ trụ sở các chi nhánh,2025-07-02 11:18:49,/2025/07/bid-cbtt-thay-doi-dia-chi-tru-so-cac-chi-nhanh-737-1323980.htm,,,1323980.0,9.0
2025-07-03,BID,36.1,36.4,35.75,35.9,6061507,Tin mới nhất,Cổ phiếu ngân hàng “thăng hoa” trong tháng 6,2025-07-03 20:02:00,/2025/07/co-phieu-ngan-hang-thang-hoa-trong-thang-6-830-1324632.htm,"Khép lại tháng 6, nhóm cổ phiếu ngân hàng tiếp tục là lực đẩy chính giúp thị trường duy trì xu hướng tăng điểm, với diễn biến tích cực về thị giá bất chấp thanh khoản sụt giảm.",,1324632.0,40.0
